"US","101657","1581","869","0","38.035593115995","-91.226212571562"
"Italy","86498","9134","10950","66414","41.871940000000","12.567380000000"
"China","81897","3296","74720","3881","32.828384848485","111.649081818182"
"Spain","65719","5138","9357","51224","40.463667000000","-3.749220000000"
"Germany","50871","342","6658","43871","51.165691000000","10.451526000000"
"France","33402","1997","5707","25698","4.457829500000","-18.233101400000"
"Iran","32332","2378","11133","18821","32.427908000000","53.688046000000"
"United Kingdom","14745","761","151","13833","37.641556857143","-31.984938000000"
"Switzerland","12928","231","1530","11167","46.818200000000","8.227500000000"
"Korea, South","9332","139","4528","4665","35.907757000000","127.766922000000"
"Netherlands","8647","547","6","8094","23.716450000000","-49.180450000000"
"Austria","7657","58","225","7374","47.516200000000","14.550100000000"
"Belgium","7284","289","858","6137","50.833300000000","4.469936000000"
"Turkey","5698","92","42","5564","38.963700000000","35.243300000000"
"Canada","4682","54","256","0","42.570386666667","-74.632686666667"
"Portugal","4268","76","43","4149","39.399900000000","-8.224500000000"
"Norway","3755","19","6","3730","60.472000000000","8.468900000000"
"Brazil","3417","92","6","3319","-14.235000000000","-51.925300000000"
"Australia","3143","13","194","2936","-32.106275000000","141.355487500000"
"Sweden","3069","105","16","2948","60.128161000000","18.643501000000"
"Israel","3035","12","79","2944","31.046051000000","34.851612000000"
"Czechia","2279","9","11","2259","49.817500000000","15.473000000000"
"Denmark","2200","52","57","2091","63.287800000000","-13.338100000000"
"Malaysia","2161","26","259","1876","4.210484000000","101.975766000000"
"Ireland","2121","22","5","2094","53.142400000000","-7.692100000000"
"Chile","1610","5","43","1562","-35.675100000000","-71.543000000000"
"Luxembourg","1605","15","40","1550","49.815300000000","6.129600000000"
"Ecuador","1595","36","3","1556","-1.831200000000","-78.183400000000"
"Japan","1468","49","372","1047","36.204824000000","138.252924000000"
"Poland","1389","16","7","1366","51.919400000000","19.145100000000"
"Pakistan","1373","11","23","1339","30.375300000000","69.345100000000"
"Romania","1292","26","115","1151","45.943200000000","24.966800000000"
"South Africa","1170","1","31","1138","-30.559500000000","22.937500000000"
"Thailand","1136","5","97","1034","15.870032000000","100.992541000000"
"Saudi Arabia","1104","3","35","1066","23.885942000000","45.079162000000"
"Indonesia","1046","87","46","913","-0.789300000000","113.921300000000"
"Finland","1041","7","10","1024","61.924110000000","25.748151000000"
"Russia","1036","4","45","987","61.524010000000","105.318756000000"
"Greece","966","28","52","886","39.074200000000","21.824300000000"
"Iceland","890","2","97","791","64.963100000000","-19.020800000000"
"India","887","20","73","794","20.593684000000","78.962880000000"
"Philippines","803","54","31","718","12.879721000000","121.774017000000"
"Singapore","732","2","183","547","1.283300000000","103.833300000000"
"Diamond Princess","712","10","597","105","0.000000000000","0.000000000000"
"Panama","674","9","2","663","8.538000000000","-80.782100000000"
"Peru","635","11","16","608","-9.190000000000","-75.015200000000"
"Slovenia","632","9","10","613","46.151200000000","14.995500000000"
"Argentina","589","13","72","504","-38.416100000000","-63.616700000000"
"Croatia","586","3","37","546","45.100000000000","15.200000000000"
"Mexico","585","8","4","573","23.634500000000","-102.552800000000"
"Dominican Republic","581","20","3","558","18.735700000000","-70.162700000000"
"Estonia","575","1","11","563","58.595300000000","25.013600000000"
"Qatar","562","0","43","519","25.354800000000","51.183900000000"
"Colombia","539","6","10","523","4.570900000000","-74.297300000000"
"Egypt","536","30","116","390","26.820553000000","30.802498000000"
"Bahrain","466","4","227","235","26.027500000000","50.550000000000"
"Iraq","458","40","122","296","33.223191000000","43.679291000000"
"Serbia","457","1","0","456","44.016500000000","21.005900000000"
"Algeria","409","26","29","354","28.033900000000","1.659600000000"
"United Arab Emirates","405","2","52","351","23.424076000000","53.847818000000"
"Lebanon","391","8","27","356","33.854700000000","35.862300000000"
"New Zealand","368","0","37","331","-40.900600000000","174.886000000000"
"Lithuania","358","5","1","352","55.169400000000","23.881300000000"
"Morocco","345","23","11","311","31.791700000000","-7.092600000000"
"Armenia","329","1","28","300","40.069100000000","45.038200000000"
"Ukraine","310","5","5","300","48.379400000000","31.165600000000"
"Hungary","300","10","34","256","47.162500000000","19.503300000000"
"Bulgaria","293","3","9","281","42.733900000000","25.485800000000"
"Latvia","280","0","1","279","56.879600000000","24.603200000000"
"Slovakia","269","0","2","267","48.669000000000","19.699000000000"
"Taiwan*","267","2","29","236","23.700000000000","121.000000000000"
"Andorra","267","3","1","263","42.506300000000","1.521800000000"
"Costa Rica","263","2","3","258","9.748900000000","-83.753400000000"
"Uruguay","238","0","0","238","-32.522800000000","-55.765800000000"
"Bosnia and Herzegovina","237","4","5","228","43.915900000000","17.679100000000"
"Jordan","235","1","18","216","31.240000000000","36.510000000000"
"Tunisia","227","6","2","219","33.886917000000","9.537499000000"
"Kuwait","225","0","57","168","29.311660000000","47.481766000000"
"San Marino","223","21","4","198","43.942400000000","12.457800000000"
"North Macedonia","219","3","3","213","41.608600000000","21.745300000000"
"Moldova","199","2","2","195","47.411600000000","28.369900000000"
"Albania","186","8","31","147","41.153300000000","20.168300000000"
"Burkina Faso","180","9","12","159","12.238300000000","-1.561600000000"
"Azerbaijan","165","3","15","147","40.143100000000","47.576900000000"
"Vietnam","163","0","20","143","14.058324000000","108.277199000000"
"Cyprus","162","5","15","142","35.126400000000","33.429900000000"
"Kazakhstan","150","1","3","146","48.019600000000","66.923700000000"
"Malta","139","0","2","137","35.937500000000","14.375400000000"
"Ghana","137","4","2","131","7.946500000000","-1.023200000000"
"Oman","131","0","23","108","21.512583000000","55.923255000000"
"Senegal","119","0","11","108","14.497400000000","-14.452400000000"
